"workerid","rt","content","subjectGender","speakerGender","question","speakerName","fact_type","subjectName","verb","utterance","contentNr","trigger_class","response","fact","slide_number_in_experiment"
71,2820,"Josie went on vacation to France","M","F","2","Sarah","factL","Andrew","demonstrate","Did Scott demonstrate that Josie went on vacation to France?","2","C","No","Josie doesn&quotechart have a passport",27
72,31702,"Tony had a drink last night","F","F","15","Dorothy","factL","Stephanie","establish","Did Rebecca establish that Tony had a drink last night?","15","NonProj","No","Tony has been sober for 20 years",2
72,3641,"Jackson ran 10 miles","F","M","13","Thomas","factL","Virginia","see","Did Laura see that Jackson ran 10 miles?","13","NonProj","No","Jackson is obese",3
72,2734,"Josie went on vacation to France","M","F","2","Elizabeth","factL","Nicholas","hear","Did Scott hear that Josie went on vacation to France?","2","C","No","Josie doesn&quotechart have a passport",4
72,6624,"Emma studied on Saturday morning","M","M","3","David","factL","Scott","be_right_that","Is Justin right that Emma studied on Saturday morning?","3","C","No","Emma is in first grade",5
72,2894,"Sophia got a tattoo","M","F","5","Karen","factH","Ronald","acknowledge","Did Ben acknowledge that Sophia got a tattoo?","5","C","Yes","Sophia is a hipster",6
72,3781,"Isabella ate a steak on Sunday","M","F","7","Helen","factH","Alexander","say","Did Kevin say that Isabella ate a steak on Sunday?","7","C","No","Isabella is from Argentina",7
72,2026,"Julian dances salsa","F","F","18","Betty","factL","Rebecca","inform_Sam","Did Kathleen inform Sam that Julian dances salsa?","18","C","Yes","Julian is German",8
72,3729,"Zoe calculated the tip","M","M","10","Mark","factH","Larry","confess","Did Tim confess that Zoe calculated the tip?","10","C","Yes","Zoe is a math major",9
72,1696,"Hendrick&quotechars car was expensive",NA,"F","control6","Dorothy",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",10
72,1948,"Owen shoveled snow last winter","F","M","17","Kenneth","factH","Cynthia","confirm","Did Cynthia confirm that Owen shoveled snow last winter?","17","C","Yes","Owen lives in Chicago",11
72,2843,"Josh learned to ride a bike yesterday","F","M","16","James","factL","Julie","pretend","Did Sharon pretend that Josh learned to ride a bike yesterday?","16","NonProj","Yes","Josh is a 75-year old man",12
72,2930,"Frank got a cat","F","M","12","Matthew","factL","Amy","suggest","Did Melissa suggest that Frank got a cat?","12","C","No","Frank is allergic to cats",13
72,3398,"Charley speaks Spanish","F","F","20","Lisa","factH","Rachel","admit","Did Anna admit that Charley speaks Spanish?","20","C","Yes","Charley lives in Mexico",14
